Date,Type,Name,Start,End,Duration
20/05/16,move,transport,2016-05-20T20:19:48+01:00,2016-05-20T20:30:11+01:00,623
20/05/16,place,Brunn's Coffee & Diner,2016-05-20T20:30:12+01:00,2016-05-20T21:35:47+01:00,3935
20/05/16,move,transport,2016-05-20T21:35:47+01:00,2016-05-20T21:40:50+01:00,303
20/05/16,place,HOME,2016-05-20T21:40:50+01:00,2016-05-21T00:00:00+01:00,8350
21/05/16,place,HOME,2016-05-21T00:00:00+01:00,2016-05-21T12:15:40+01:00,44140
21/05/16,move,transport,2016-05-21T12:15:40+01:00,2016-05-21T12:18:38+01:00,178
21/05/16,place,Jumbo,2016-05-21T12:18:38+01:00,2016-05-21T13:57:29+01:00,5931
21/05/16,move,walking,2016-05-21T13:57:29+01:00,2016-05-21T14:06:47+01:00,558
21/05/16,place,Café Cervejaria Atenas,2016-05-21T14:06:47+01:00,2016-05-21T14:42:31+01:00,2144
21/05/16,move,walking,2016-05-21T14:42:31+01:00,2016-05-21T14:46:11+01:00,220
21/05/16,place,Place in Portugal,2016-05-21T14:46:12+01:00,2016-05-21T14:54:46+01:00,514
21/05/16,move,transport,2016-05-21T14:54:46+01:00,2016-05-21T14:59:05+01:00,259
21/05/16,place,HOME,2016-05-21T14:59:06+01:00,2016-05-21T15:29:55+01:00,1849
21/05/16,move,transport,2016-05-21T15:29:55+01:00,2016-05-21T15:47:51+01:00,1076
21/05/16,place,Pastelaria Zizânia,2016-05-21T15:47:52+01:00,2016-05-21T18:15:05+01:00,8833
21/05/16,move,walking,2016-05-21T18:15:05+01:00,2016-05-21T18:50:09+01:00,2104
21/05/16,place,HOME,2016-05-21T18:50:10+01:00,2016-05-22T00:00:00+01:00,18590
22/05/16,place,HOME,2016-05-22T00:00:00+01:00,2016-05-22T08:51:38+01:00,31898
22/05/16,move,transport,2016-05-22T08:51:38+01:00,2016-05-22T08:54:00+01:00,142
22/05/16,place,Place in Portugal,2016-05-22T08:54:00+01:00,2016-05-22T09:03:53+01:00,593
22/05/16,move,transport,2016-05-22T09:03:53+01:00,2016-05-22T09:18:21+01:00,868
22/05/16,place,Aulas Miguel,2016-05-22T09:20:18+01:00,2016-05-22T11:19:38+01:00,7160
22/05/16,move,transport,2016-05-22T11:19:38+01:00,2016-05-22T11:40:31+01:00,1253
22/05/16,place,Continente,2016-05-22T11:40:32+01:00,2016-05-22T11:47:39+01:00,427
