Date,Type,Name,Start,End,Duration
15/03/16,move,transport,2016-03-15T19:34:16Z,2016-03-15T19:36:28Z,132
15/03/16,place,Jumbo - Estação de Serviço,2016-03-15T19:36:54Z,2016-03-15T19:46:32Z,578
15/03/16,move,transport,2016-03-15T19:46:32Z,2016-03-15T19:56:04Z,572
15/03/16,place,Place in Portugal,2016-03-15T20:07:26Z,2016-03-16T00:00:00Z,13954
16/03/16,place,Place in Portugal,2016-03-16T00:00:00Z,2016-03-16T03:40:16Z,13216
16/03/16,place,Place in Portugal,2016-03-16T03:51:06Z,2016-03-16T08:11:17Z,15611
16/03/16,move,transport,2016-03-16T08:11:17Z,2016-03-16T08:23:59Z,762
16/03/16,move,walking,2016-03-16T08:23:59Z,2016-03-16T08:27:57Z,238
16/03/16,place,DEI,2016-03-16T08:27:58Z,2016-03-16T13:04:37Z,16599
16/03/16,move,walking,2016-03-16T13:04:37Z,2016-03-16T13:31:18Z,1601
16/03/16,place,DEI,2016-03-16T13:31:19Z,2016-03-16T19:33:49Z,21750
16/03/16,move,walking,2016-03-16T19:33:49Z,2016-03-16T19:43:54Z,605
16/03/16,move,transport,2016-03-16T19:43:54Z,2016-03-16T19:54:34Z,640
16/03/16,place,HOME,2016-03-16T19:54:35Z,2016-03-17T00:00:00Z,14725
17/03/16,place,HOME,2016-03-17T00:00:00Z,2016-03-17T08:22:03Z,30123
17/03/16,move,transport,2016-03-17T08:22:03Z,2016-03-17T08:36:58Z,895
17/03/16,move,walking,2016-03-17T08:36:59Z,2016-03-17T08:56:06Z,1147
17/03/16,place,DEI,2016-03-17T08:56:07Z,2016-03-17T10:52:29Z,6982
17/03/16,move,walking,2016-03-17T10:52:29Z,2016-03-17T11:27:43Z,2114
17/03/16,place,DEI,2016-03-17T11:27:43Z,2016-03-17T12:11:56Z,2653
17/03/16,move,walking,2016-03-17T12:11:56Z,2016-03-17T12:25:41Z,825
17/03/16,move,transport,2016-03-17T12:25:41Z,2016-03-17T12:30:11Z,270
